word,pos
abilitate,NOUN
aborda,VERB
abordare,NOUN
academic,ADJ
accelerat,ADJ
accent,NOUN
accentua,VERB
accentuare,NOUN
accentuat,ADJ
accepta,VERB
acceptabil,ADJ
acceptare,NOUN
activitate,NOUN
actual,ADJ
adapta,VERB
adaptare,NOUN
adesea,ADV
administrație,NOUN
adoptare,NOUN
afară,ADV
afirma,VERB
afirmație,NOUN
alături,ADV
alega,VERB
alege,VERB
aliniere,NOUN
alternativ,ADJ
alternativă,NOUN
amintit,ADJ
amplifica,VERB
amploare,NOUN
amplu,ADJ
amprentă,NOUN
analist,NOUN
analitic,ADJ
analiza,VERB
analizare,NOUN
angajare,NOUN
ansamblu,NOUN
antrena,VERB
anula,VERB
aparte,ADV
apartenență,NOUN
aplicabilitate,NOUN
aprecia,VERB
apreciere,NOUN
apropiat,ADJ
arăta,VERB
argument,NOUN
argumenta,VERB
artificial,ADJ
asemenea,ADJ
aspect,NOUN
astăzi,ADV
așteptare,NOUN
asumare,NOUN
atitudine,NOUN
atrage,VERB
autohton,ADJ
autonom,ADJ
autonomie,NOUN
autor,NOUN
avansat,ADJ
avantaj,NOUN
axa,VERB
baza,VERB
benefic,ADJ
bloca,VERB
cadru,NOUN
calificat,ADJ
calitate,NOUN
calitativ,ADJ
cantitativ,ADJ
capabil,ADJ
caracter,NOUN
caracteristic,ADJ
caracteriza,VERB
categorie,NOUN
cauzal,ADJ
centra,VERB
cercetare,NOUN
cercetător,NOUN
cheie,NOUN
chestionar,NOUN
citat,NOUN
ciudă,NOUN
clar,ADJ
clarificare,NOUN
clasic,ADJ
clasificare,NOUN
climat,NOUN
coerent,ADJ
coerență,NOUN
coeziune,NOUN
cognitiv,ADJ
comanda,VERB
combinare,NOUN
comparație,NOUN
compărea,VERB
complementar,ADJ
complex,ADJ
complexitate,NOUN
componentă,NOUN
comporta,VERB
comportament,NOUN
comportamental,ADJ
compromis,NOUN
comun,ADJ
comunicare,NOUN
concentra,VERB
concept,NOUN
conceptual,ADJ
concluzie,NOUN
concordanță,NOUN
concret,ADJ
concretiza,VERB
concura,VERB
concurență,NOUN
conduce,VERB
configurație,NOUN
confirma,VERB
confrunta,VERB
consecință,NOUN
consecvent,ADJ
consens,NOUN
considera,VERB
considerabil,ADJ
considerație,NOUN
consistent,ADJ
consistență,NOUN
consolida,VERB
consolidare,NOUN
consta,VERB
constant,ADJ
constata,VERB
conștient,ADJ
conștientizare,NOUN
